step,x,y,action,tile,reward,health,has_key
0,2,1,3,0,10.0,299,0
1,2,2,1,0,10.0,298,0
2,2,2,3,0,-0.0,297,0
3,2,2,3,0,-100.0,296,0
4,2,2,3,0,-200.0,295,0
5,2,2,3,0,-300.0,294,0
6,2,2,2,0,-0.0,293,0
7,2,2,1,0,-0.0,292,0
8,2,2,1,0,-100.0,291,0
9,2,2,2,0,-0.0,290,0
10,2,2,2,0,-100.0,289,0
11,2,2,3,0,-0.0,288,0
12,2,2,2,0,-0.0,287,0
13,2,2,2,0,-100.0,286,0
14,2,2,1,0,-0.0,285,0
15,2,2,2,0,-0.0,284,0
16,2,2,2,0,-100.0,283,0
17,2,2,2,0,-200.0,282,0
18,2,2,3,0,-0.0,281,0
19,2,2,3,0,-100.0,280,0
20,2,2,1,0,-0.0,279,0
21,2,2,3,0,-0.0,278,0
22,2,2,1,0,-0.0,277,0
23,2,2,1,0,-100.0,276,0
24,2,2,2,0,-0.0,275,0
25,2,2,1,0,-0.0,274,0
26,2,2,1,0,-100.0,273,0
27,2,2,1,0,-200.0,272,0
28,2,2,1,0,-300.0,271,0
29,2,2,3,0,-0.0,270,0
30,2,2,2,0,-0.0,269,0
31,2,2,3,0,-0.0,268,0
32,2,2,3,0,-100.0,267,0
33,2,2,3,0,-200.0,266,0
34,2,2,3,0,-300.0,265,0
35,2,2,3,0,-400.0,264,0
36,2,2,2,0,-0.0,263,0
37,2,2,2,0,-100.0,262,0
38,2,2,3,0,-0.0,261,0
39,2,1,0,0,10.0,260,0
40,2,2,1,0,10.0,259,0
41,2,2,2,0,-0.0,258,0
42,2,2,1,0,-0.0,257,0
43,2,1,0,0,10.0,256,0
44,3,1,3,0,10.0,255,0
45,4,1,3,0,10.0,254,0
46,4,1,0,0,-100.0,253,0
47,4,1,2,0,-1.0,252,0
48,4,1,3,0,-0.0,251,0
49,4,1,3,0,-100.0,250,0
50,4,1,3,0,-200.0,249,0
51,4,1,3,0,-300.0,248,0
52,4,1,2,0,-1.0,247,0
53,4,2,1,0,10.0,246,0
54,5,2,3,0,10.0,245,0
55,5,2,3,0,-100.0,244,0
56,5,2,2,0,-1.0,243,0
57,5,2,3,0,-100.0,242,0
58,5,2,3,0,-100.0,241,0
59,5,3,1,0,10.0,240,0
60,5,3,0,0,-1.0,239,0
61,5,3,3,0,-100.0,238,0
62,5,3,3,0,-100.0,237,0
63,5,3,2,0,-0.0,236,0
64,5,4,1,0,40.0,235,1
65,5,5,1,0,10.0,234,1
66,5,5,2,0,-0.0,233,1
67,5,5,3,0,-100.0,232,1
68,5,4,0,0,10.0,231,1
69,5,4,3,0,-100.0,230,1
70,4,4,2,0,10.0,229,1
71,4,4,3,0,-1.0,228,1
72,4,4,1,0,-100.0,227,1
73,3,4,2,0,10.0,226,1
74,3,4,3,0,-1.0,225,1
75,2,4,2,0,10.0,224,1
76,1,4,2,0,10.0,223,1
77,1,4,3,0,-1.0,222,1
78,1,4,2,0,-100.0,221,1
79,1,4,3,0,-1.0,220,1
80,1,4,3,0,-1.0,219,1
81,1,4,2,0,-100.0,218,1
82,1,5,1,0,10.0,217,1
83,1,5,2,0,-100.0,216,1
84,1,5,2,0,-100.0,215,1
85,1,4,0,0,80.0,214,1
86,1,4,2,0,-100.0,213,1
87,1,3,0,0,80.0,212,1
88,1,3,0,0,-0.0,211,1
89,1,3,2,0,80.0,210,1
90,1,3,0,0,-100.0,209,1
91,1,3,3,0,-0.0,208,1
92,1,3,3,0,-100.0,207,1
93,1,3,2,0,80.0,206,1
94,1,3,3,0,-200.0,205,1
95,1,3,0,0,-0.0,204,1
96,1,3,2,0,80.0,203,1
97,1,3,3,0,-0.0,202,1
98,1,3,1,0,-1.0,201,1
99,1,3,0,0,-0.0,200,1
100,1,3,2,0,80.0,199,1
101,1,3,0,0,-100.0,198,1
102,1,3,3,0,-0.0,197,1
103,1,3,2,0,80.0,196,1
104,1,3,2,0,80.0,195,1
105,1,3,1,0,-1.0,194,1
106,1,3,1,0,-1.0,193,1
107,1,3,1,0,-1.0,192,1
108,1,3,2,0,80.0,191,1
109,1,3,0,0,-0.0,190,1
110,1,3,3,0,-0.0,189,1
111,1,3,1,0,-1.0,188,1
112,1,3,3,0,-100.0,187,1
113,1,3,0,0,-0.0,186,1
114,1,3,1,0,-1.0,185,1
115,1,3,3,0,-0.0,184,1
116,1,3,2,0,80.0,183,1
117,1,3,2,0,80.0,182,1
118,1,3,0,0,-0.0,181,1
119,1,3,3,0,-0.0,180,1
120,1,3,2,0,80.0,179,1
121,1,3,1,0,-1.0,178,1
122,1,3,2,0,80.0,177,1
123,1,3,1,0,-1.0,176,1
124,1,3,2,0,80.0,175,1
125,1,3,1,0,-1.0,174,1
126,1,3,0,0,-0.0,173,1
127,1,3,3,0,-0.0,172,1
128,1,3,3,0,-100.0,171,1
129,1,3,2,0,80.0,170,1
130,1,3,3,0,-200.0,169,1
131,1,3,2,0,80.0,168,1
132,1,3,3,0,-300.0,167,1
133,1,3,3,0,-400.0,166,1
134,1,3,1,0,-1.0,165,1
135,1,3,3,0,-500.0,164,1
136,1,3,2,0,80.0,163,1
137,1,3,3,0,-600.0,162,1
138,1,3,3,0,-700.0,161,1
139,1,3,3,0,-800.0,160,1
140,1,3,0,0,-0.0,159,1
141,1,3,0,0,-100.0,158,1
142,1,3,3,0,-0.0,157,1
143,1,3,2,0,80.0,156,1
144,1,3,3,0,-100.0,155,1
145,1,3,0,0,-0.0,154,1
146,1,3,3,0,-0.0,153,1
147,1,3,2,0,80.0,152,1
148,1,3,1,0,-1.0,151,1
149,1,3,2,0,80.0,150,1
150,1,3,3,0,-100.0,149,1
151,1,3,3,0,-200.0,148,1
152,1,3,1,0,-1.0,147,1
153,1,3,2,0,80.0,146,1
154,1,3,1,0,-1.0,145,1
155,1,3,2,0,80.0,144,1
156,1,3,2,0,80.0,143,1
157,1,3,0,0,-0.0,142,1
158,1,3,3,0,-0.0,141,1
159,1,3,2,0,80.0,140,1
160,1,3,3,0,-100.0,139,1
161,1,3,0,0,-0.0,138,1
162,1,3,3,0,-0.0,137,1
163,1,3,2,0,80.0,136,1
164,1,3,3,0,-100.0,135,1
165,1,3,0,0,-0.0,134,1
166,1,3,1,0,-1.0,133,1
167,1,3,1,0,-1.0,132,1
168,1,3,3,0,-0.0,131,1
169,1,3,2,0,80.0,130,1
170,1,3,1,0,-1.0,129,1
171,1,3,0,0,-0.0,128,1
172,1,3,3,0,-0.0,127,1
173,1,3,2,0,80.0,126,1
174,1,3,3,0,-100.0,125,1
175,1,3,3,0,-200.0,124,1
176,1,3,3,0,-300.0,123,1
177,1,3,3,0,-400.0,122,1
178,1,3,1,0,-1.0,121,1
